abbreviation,text,location,label
CC,Treatment for CC included colon and polyp interventions,2,colorectal cancer
CC,Investigation into CC found tumor with adenocarcinoma evidence,2,colorectal cancer
CC,Clinical presentation of CC included tumor and adenocarcinoma,3,colorectal cancer
CC,Treatment for CC included screening and bowel interventions,2,colorectal cancer
CC,Treatment for CC included screening and rectal interventions,2,colorectal cancer
CC,Study examined CC patients with colon and polyp,2,colorectal cancer
CC,Study examined CC patients with screening and tumor,2,colorectal cancer
CC,Monitoring CC showed screening and screening progression,1,colorectal cancer
CC,Analysis of CC demonstrated screening with tumor,2,colorectal cancer
CC,The CC case exhibited polyp and polyp characteristics,1,colorectal cancer
CC,Evaluation of CC detected screening and adenocarcinoma markers,2,colorectal cancer
CC,Screening for CC revealed colon and bowel signs,2,colorectal cancer
CC,Patient with CC showing colon and tumor findings,2,colorectal cancer
CC,Evaluation of CC detected bowel and rectal markers,2,colorectal cancer
CC,Monitoring CC showed rectal and rectal progression,1,colorectal cancer
CC,Treatment for CC included tumor and bowel interventions,2,colorectal cancer
CC,Treatment for CC included tumor and tumor interventions,2,colorectal cancer
CC,Analysis of CC demonstrated polyp with rectal,2,colorectal cancer
CC,Clinical presentation of CC included tumor and polyp,3,colorectal cancer
CC,Evaluation of CC detected screening and rectal markers,2,colorectal cancer
CC,Clinical presentation of CC included colon and colon,3,colorectal cancer
CC,Clinical presentation of CC included polyp and adenocarcinoma,3,colorectal cancer
CC,Medical report documented CC with polyp and rectal,3,colorectal cancer
CC,Diagnosis of CC confirmed rectal and screening features,2,colorectal cancer
CC,Clinical presentation of CC included adenocarcinoma and adenocarcinoma,3,colorectal cancer
CC,The CC diagnosis revealed tumor with tumor present,1,colorectal cancer
CC,Diagnosis of CC confirmed polyp and screening features,2,colorectal cancer
CC,CC assessment showed bowel and bowel indicators,0,colorectal cancer
CC,Analysis of CC demonstrated adenocarcinoma with bowel,2,colorectal cancer
CC,Monitoring CC showed polyp and colon progression,1,colorectal cancer
CC,Study examined CC patients with adenocarcinoma and polyp,2,colorectal cancer
CC,Research on CC identified polyp and screening patterns,2,colorectal cancer
CC,Medical report documented CC with screening and polyp,3,colorectal cancer
CC,The CC diagnosis revealed tumor with bowel present,1,colorectal cancer
CC,The CC diagnosis revealed adenocarcinoma with colon present,1,colorectal cancer
CC,Diagnosis of CC confirmed polyp and polyp features,2,colorectal cancer
CC,Diagnosis of CC confirmed adenocarcinoma and rectal features,2,colorectal cancer
CC,Treatment for CC included screening and polyp interventions,2,colorectal cancer
CC,Screening for CC revealed tumor and polyp signs,2,colorectal cancer
CC,Treatment for CC included colon and rectal interventions,2,colorectal cancer
CC,Screening for CC revealed tumor and bowel signs,2,colorectal cancer
CC,Research on CC identified screening and adenocarcinoma patterns,2,colorectal cancer
CC,Diagnosis of CC confirmed bowel and rectal features,2,colorectal cancer
CC,Clinical presentation of CC included colon and rectal,3,colorectal cancer
CC,Investigation into CC found rectal with polyp evidence,2,colorectal cancer
CC,The CC diagnosis revealed bowel with rectal present,1,colorectal cancer
CC,Monitoring CC showed colon and polyp progression,1,colorectal cancer
CC,Clinical presentation of CC included screening and tumor,3,colorectal cancer
CC,Monitoring CC showed tumor and adenocarcinoma progression,1,colorectal cancer
CC,CC assessment showed polyp and adenocarcinoma indicators,0,colorectal cancer
CC,Investigation into CC found bowel with rectal evidence,2,colorectal cancer
CC,Diagnosis of CC confirmed screening and adenocarcinoma features,2,colorectal cancer
